Auszug Katalog DLA Marbach 08 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_Katalog,Medium,Person_Verfasser,Person_beteiligt,Titel,"Verfasser, beteiligte",Impressum,Verlag normiert,Haupttitel,Titelzusatz,Verfasserangabe,Auflage,Erscheiungsort,Verlag,Jahr,Jahr_normiert,Bandangabe_Mehrb. Weri,Seiten,Ill-Vermerk,Reihe,Reihe_Nummer,Anmerkung,ISBN,Gattung,Art_Inhalt,Sprache,Sprache_Original,Weitere Titel,Signatur,Signatur_Mehrb_Werk
AK00076566,Buch,"Alexander, Elisabeth (1922-2009) [Verfasser/Urheber]",,Domizil Heidelberg : Erzählungen - 2. Aufl.,"Alexander, Elisabeth","Speyer : Lösch, 1995 - 61 Seiten",Lösch,Domizil Heidelberg,Erzählungen,Elisabeth Alexander,2. Aufl.,Speyer,Lösch,1995,1995,,61 Seiten,,Kleine literarische Reihe ; 3,3,,3-930122-06-5,Erzählende Prosa,,Deutsch,,,M,
AK01733495,Buch,"Alexis, Willibald (1798-1871) [Verfasser/Urheber]",,Cabanis : Roman in sechs Büchern. - 3. Buch. ¬Der¬ Marquis,"Alexis, Willibald","Berlin : Fincke, 1832 - 6 Bände, 1832 - 257 Seiten",,Der Marquis,,,,,,1832,1832,,257 Seiten,,,3. Buch,,,,,Deutsch,,,I,
AK00089987,Mehrteiliges Werk,"Alexis, Willibald (1798-1871) [Verfasser/Urheber]","Miller, Norbert (1937-) [Herausgeber]␟Bernauer, Markus (1958-) [Herausgeber]",Romane und Erzählungen : Gesamtausgabe : [Werkausgabe],"Alexis, Willibald; Miller, Norbert; Bernauer, Markus",Hildesheim ; Zürich ; New York : Olms,Olms,Romane und Erzählungen,Gesamtausgabe,Willibald Alexis. Hrsg. von Norbert Miller ...,,Hildesheim ; Zürich ; New York,Olms,,,,,,Deutsche Literatur im 19. Jahrhundert,,In Fraktur,3-487-10102-5,,Werkausgabe,Deutsch,,,,Hb.4/6:Ale / I (Werke:1996)
AK00203654,Mikroform␟Buch,"Alexis, Willibald (1798-1871) [Verfasser/Urheber]",,Ruhe ist die erste Bürgerpflicht : oder Vor 50 Jahren ; vaterländ. Roman. - 3 (1852).,"Alexis, Willibald","Berlin : Barthol, 1852 - 315 Seiten",,,,,,,,1852,1852,,315 Seiten,,,3 (1852),,3-628-39504-6,,,Deutsch,,,MPF Corvey <3-628-39504-6>,
AK00339178,Mikroform␟Buch,"Alexis, Willibald (1798-1871) [Verfasser/Urheber]",,Shakspeare und seine Freunde ...,"Alexis, Willibald","Berlin, 1839 - 3 Bd.",,Shakspeare und seine Freunde ...,,Willibald Alexis,,Berlin,,1839,1839,,3 Bd.,,,,"Druckausg. unter Pseudonym erschienen␟DM 742,- (Gesamtpreis für alle Werke des Autors in der Ed., 109 Mikrofiches, ISBN gültig für alle Werke des Autors)␟Mikrofiche-Ausg.␟München [u.a.] : Saur, 1994. Mikrofiche(s). (Bibliothek der deutschen Literatur ; Fiche 7304/7305). Besitzer der Verfilmungsvorlage: 19. - Enth. in BDL-Teilausg.: Restauration, Schlesien, Reiseliteratur. ISBN 3-598-51043-8 ISBN 3-598-50020-3 ISBN 3-598-50035-1 ISBN 3-598-50115-3",3-598-51043-8␟3-598-50020-3␟3-598-50035-1␟3-598-50115-3,,,,,,MPF BDL 7304/7305,
AK00061460,Buch,"Allert-Wybranietz, Kristiane (1955-) [Verfasser/Urheber]",,Leben ist Liebe : die schönsten Verschenk-Texte - 4. Aufl.,"Allert-Wybranietz, Kristiane","München : Heyne, 1998 - 115 Seiten",Heyne,Leben ist Liebe,die schönsten Verschenk-Texte,von Kristiane Allert-Wybranietz,4. Aufl.,München,Heyne,1998,1998,,115 Seiten,,"Heyne-Bücher : 01, Heyne allgemeine Reihe ; Nr. 9705",#NV␟Nr. 9705,,3-453-09227-9,Lyrik,,Deutsch,,,M,
AK00181199,Buch,"Altendorf, Wolfgang (1921-2007) [Verfasser/Urheber]","Altendorf, Irmeli [Herausgeber]",¬Der¬ arme Mensch : Drama (in griechischer Sprache) - Bibliophile Sonderausg. : [Übersetzung deutschspr. Literatur],"Altendorf, Wolfgang; Altendorf, Irmeli","Freudenstadt : Altendorf, [ca. 2003] - [22] Seiten",Altendorf,Der arme Mensch,Drama (in griechischer Sprache),Wolfgang Altendorf. Hrsg. v. Irmeli Altendorf,Bibliophile Sonderausg.,Freudenstadt,Altendorf,[ca. 2003],2003,,[22] Seiten,,,,,,Dramatisches,Übersetzung deutschspr. Literatur,Griechisch,,Der arme Mensch <griech.>,M,
AK00063594,Buch,"Altendorf, Wolfgang (1921-2007) [Verfasser/Urheber]","Altendorf, Irmeli [Herausgeber]","1999 : dies Jahrhundert, darf ich's preisen? ; Dichtung - bibliophile Sonderausg.","Altendorf, Wolfgang; Altendorf, Irmeli","Freudenstadt : Altendorf, [ca. 1999] - [13] Blatt",Altendorf,1999,"dies Jahrhundert, darf ich's preisen? ; Dichtung",Wolfgang Altendorf. Hrsg. von Irmeli Altendorf,bibliophile Sonderausg.,Freudenstadt,Altendorf,[ca. 1999],1999,,[13] Blatt,,,,,,Lyrik,,Deutsch,,,M:Kps.,
AK01232829,Buch,"Altendorf, Wolfgang (1921-2007) [Verfasser/Urheber]","Altendorf, Irmeli [Herausgeber]␟Altendorf, Wolfgang (1921-2007) [Illustrator]","Deidesheim Impressionen : Bilder und Texte über eine liebenswerte Stadt in der Pfalz, ihre Menschen, ihre Kultur und ihren Wein ; aus : Deidesheim gewidmeten zahlreichen Veröffentlichungen während seiner Zeit als Erster Turmschreiber und die Jahre danach - 1. Aufl. : [Erinnerung, Autobiographisches, Memoiren]","Altendorf, Wolfgang; Altendorf, Irmeli; Altendorf, Wolfgang","Freudenstadt-Wittlensweiler : Altendorf, [o.J.] - [21] Blatt",Altendorf,Deidesheim Impressionen,"Bilder und Texte über eine liebenswerte Stadt in der Pfalz, ihre Menschen, ihre Kultur und ihren Wein ; aus : Deidesheim gewidmeten zahlreichen Veröffentlichungen während seiner Zeit als Erster Turmschreiber und die Jahre danach",Wolfgang Altendorf. [Hrsg. ... Irmeli Altendorf],1. Aufl.,Freudenstadt-Wittlensweiler,Altendorf,[o.J.],,,[21] Blatt,,,,Kunstmappe mit handsignierten Zeichnungen von Wolfgang Altendorf - Aufl.: 50 Ex.,,Nichttextuelle Produktion,"Erinnerung, Autobiographisches, Memoiren",Deutsch,,,M:Kps.Quart,
AK01326218,Buch,"Altendorf, Wolfgang (1921-2007) [Verfasser/Urheber]","Altendorf, Irmeli [Herausgeber]␟Altendorf, Wolfgang (1921-2007) [Illustrator]",Drei Musen : Gedichte und Zeichn. - Bibliophile Sonderausg.,"Altendorf, Wolfgang; Altendorf, Irmeli; Altendorf, Wolfgang","Freudenstadt : Altendorf, [1990] - 23 Seiten",Altendorf,Drei Musen,Gedichte und Zeichn.,Wolfgang Altendorf. Hrsg. und Nachwort Irmeli Altendorf,Bibliophile Sonderausg.,Freudenstadt,Altendorf,[1990],1990,,23 Seiten,Ill.,,,Doppelblattpfalz,,Lyrik␟Nichttextuelle Produktion,,Deutsch,,,M,
